affiliation	count
Voltaire [François Marie Arouet]	660
Gabriel Cramer	17
Chrétien Guillaume de Lamoignon de Malesherbes	15
Gabrielle Émilie Le Tonnelier de Breteuil	12
marquise Du Châtelet-Lomont	12
Nicolas Claude Thieriot	8
Société typographique de Neuchâtel	7
Jean Louis Wagnière	7
Laurent Angliviel de La Beaumelle	7
Nicolas René Berryer de Ravenoville	7
Jacob Vernet	6
Cosimo Alessandro Collini	5
Jean Le Rond d'Alembert	5
Jean Baptiste Nicolas Formont	4
Henri Louis Lekain	4
Jean Frédéric Phélypeaux	4
comte de Maurepas	4
Louis Benjamin Annet de Perry	4
marquis de Perry	4
comte d'Argental	4
Charles Augustin Feriol	4
Joseph d'Hémery	3
Philibert Cramer	3
king of Prussia	3
Frederick II	3
Marc Michel Bousquet	3
François Louis Claude Marin	2
Antoine Adam	2
Michel Lambert	2
Marie Antoinette Duchesne	2
duc de La Vallière	2
Louis César de La Baume Le Blanc	2
Marie Louise Denis	2
Alexis Jean Le Bret	2
Pierre Robert Le Cornier de Cideville	2
Prince Aleksandr Romanovich Vorontsov	2
Claude Brossette	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
César de Missy	2
Count Ivan Ivanovich Shuvalov	2
Jean Benjamin de Laborde	1
Abate Michel Giuseppe Morei	1
Louisa Dorothea von Meiningen	1
duchess of Saxe-Gotha	1
Bernard Louis Verlac de La Bastide	1
Charles Georges Coqueley de Chaussepierre	1
Paul Foucher	1
Pierre Rousseau	1
John Lockman	1
1st Baron Lyttelton	1
George Lyttelton	1
Antoine François Prévost d'Exiles	1
Claude Bienvenu	1
Charles Palissot de Montenoy	1
Jean Jacques Rousseau	1
Pierre François Guyot Desfontaines	1
Sébastien Dupont	1
— Montcarville	1
Josef Friedrich Schoepflin	1
Jean François Marmontel	1
Christophle de Laffrusse de Seynas	1
Étienne Ledet	1
king of France	1
Louis XV	1
Charles Saillant	1
Théodore Tronchin	1
Henri Pitot	1
Jean Jallabert	1
Elector Palatine	1
Charles Theodore von Sulzbach	1
Michel Guyot de Merville	1
Jacques Emmanuel Roques de Maumont de La Rochefoucauld	1
François Louis Allamand	1
Claude Christophe Philibert	1
Jean Marie Bruyset	1
Étienne Lauréault de Foncemagne	1
— Seguy	1
Cyrille Le Petit	1
Jean Baptiste François de La Michodière	1
George Keate	1
Francesco Scipione	1
marchese di Maffei	1
Charles Jean François Hénault	1
Jean Du Castre d'Auvigny	1
Jean Bernard Le Blanc	1
Joseph Marie Durey de Morsan	1
Sir Charles Hanbury Williams	1
Aimé Henri Paulian	1
Jean Augustin Grangé	1
Jean Baptiste Rousseau	1
John Wilkes	1
Sir Everard Fawkener	1
Jean Omer Joly de Fleury	1
— de Molin	1
Gotthold Ephraim Lessing	1
M. — Rousselet	1
Catherine II	1
czarina of Russia	1
Denis Diderot	1
François Augustin Paradis de Moncrif	1
Jacques Le Brigant	1
Fortunato Bartolomeo de Felice	1
Charles Joseph Panckoucke	1
Charles Bonnet	1
Pierre François Boncerf	1
Étienne Maurice Falconet	1
Pierre Alexandre Le Prieur	1
Jean Henri Samuel Formey	1
Johann Daniel Schoepflin	1
Charles Emmanuel de Crussol	1
duc d'Uzès	1
— Dubut	1
Pierre Louis Moreau de Maupertuis	1
Barthélémy Faujas de Saint-Fond	1
Henri François Daguesseau	1
comte d'Argenson	1
Marc Pierre de Voyer de Paulmy	1
Alexander Leslie	1
Lord Balgonie	1
Claude François Xavier Millot	1
Laurent François Prault	1
duke of Württemberg	1
Louis Eugene von Württemberg	1
Count Kyril Grigorievich Razumovsky	1
Antoine Ignace Fez	1
Jean Louis Vincent Capperonnier de Gauffecourt	1
Louis Antoine Travenol	1
Frédéric Samuel Osterwald	1
André Morellet	1
Hubert François Gravelot	1
François Parfaict	1
Louis Phélypeaux	1
duc de La Vrillière	1
Pierre Alexandre Du Peyrou	1
Jean Baptiste de Boyer	1
marquis d'Argens	1
comte Nicolas Louis François de Neufchâteau	1
Claude Étienne Darget	1
